threshold,n_caught,n_missed,avg_lead_time_cycles,total_cost
1,1,19,1.0,192035.0
2,6,14,1.7,152350.0
3,14,6,2.8,89365.0
4,17,3,3.5,66065.0
5,19,1,4.8,51185.0
6,20,0,5.6,43885.0
7,20,0,6.2,44305.0
8,20,0,7.4,45145.0
9,20,0,8.3,45810.0
10,20,0,9.3,46510.0
11,20,0,10.6,47385.0
12,20,0,11.0,47700.0
13,20,0,12.6,48820.0
14,20,0,13.6,49555.0
15,20,0,14.4,50045.0
16,20,0,15.2,50605.0
17,20,0,15.8,51095.0
18,20,0,17.3,52110.0
19,20,0,18.7,53090.0
20,20,0,19.6,53755.0
25,20,0,24.4,57115.0
30,20,0,29.2,60475.0
35,20,0,34.9,64430.0
40,20,0,40.7,68490.0
45,20,0,48.6,74020.0
50,20,0,53.0,77135.0
55,20,0,59.0,81300.0
60,20,0,62.0,83435.0
65,20,0,67.4,87180.0
70,20,0,74.5,92150.0
75,20,0,78.2,94775.0
80,20,0,82.6,97855.0
85,20,0,89.7,102790.0
90,20,0,95.3,106710.0
95,20,0,100.7,110490.0
100,20,0,112.7,118890.0
105,20,0,126.6,128585.0
110,20,0,144.8,141325.0
115,20,0,160.6,152455.0
120,20,0,192.6,174785.0
